identifier,title,field,year,areaType,areaCode,datum,zipFileUrl,zipFileSize,zipfile_name
A20,奄美群島,政策区域,2000,2,46,1,http://nlftp.mlit.go.jp/ksj/gml/data/A20/A20-00/A20-001001_46_GML.zip,2.74MB,A20-001001_46_GML.zip
A20,奄美群島,政策区域,2005,2,46,1,http://nlftp.mlit.go.jp/ksj/gml/data/A20/A20-05/A20-051001_46_GML.zip,2.74MB,A20-051001_46_GML.zip
A20,奄美群島,政策区域,2007,2,46,1,http://nlftp.mlit.go.jp/ksj/gml/data/A20/A20-07/A20-070402_46_GML.zip,2.74MB,A20-070402_46_GML.zip
A20s,奄美群島統計情報,政策区域,1995,3,46,1,http://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-95/A20s-95_46_GML.zip,12.04MB,A20s-95_46_GML.zip
A20s,奄美群島統計情報,政策区域,2000,3,46,1,http://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-00/A20s-00_46_GML.zip,12.00MB,A20s-00_46_GML.zip
A20s,奄美群島統計情報,政策区域,2005,3,46,1,http://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-05/A20s-05_46_GML.zip,11.99MB,A20s-05_46_GML.zip
A20s,奄美群島統計情報,政策区域,2010,3,46,1,http://nlftp.mlit.go.jp/ksj/gml/data/A20s/A20s-10/A20s-10_46_GML.zip,11.98MB,A20s-10_46_GML.zip
A21,小笠原諸島,政策区域,1969,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-69/A21-691208_13_GML.zip,1.54MB,A21-691208_13_GML.zip
A21,小笠原諸島,政策区域,1970,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-70/A21-701001_13_GML.zip,1.54MB,A21-701001_13_GML.zip
A21,小笠原諸島,政策区域,1975,3,13,1,http://nlftp.mlit.go.jp/ksj/gml/data/A21/A21-75/A21-751001_13_GML.zip,1.54MB,A21-751001_13_GML.zip
